Node IP,Executed Command,Execution Output
10.156.42.131,airflow version,1.10.11
10.156.42.131,/opt/alluxio/bin/alluxio version,2.7.3
10.156.42.131,rpm -qa | grep ambari-metrics-monitor | cut -d '-' -f4,7.1.7.0
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/spark-atlas-connector/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.1.0.7.1.7.74-6
10.156.42.131,rpm -qa | grep beegfs-helperd | cut -d '-' -f3,7.1.5
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/hadoop/cloudera/cdh_version.properties | grep cloudera.cdh.release | head -1 | cut -d'h' -f3,7.1.7.74
10.156.42.131,rpm -qa | grep -i Cloudera  | cut -d '-' -f4 | head -1,7.4.4
10.156.42.131,rpm -qa | grep -i hdp | cut -d '-' -f3,7.1.7.0
10.156.42.131,bash /opt/flare/flare_bsl/bin/kamanja --version,Kamanja version 1.5.3.0
10.156.42.131,rpm -qa | grep -i grafana | cut -d '-' -f3,Command Not Exist or Application Not installed
10.156.42.131,hadoop version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.131,hbase version | grep HBase | cut -d ' ' -f2,2.2.3.7.1.7.74-6
10.156.42.131,hdfs version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/search/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.0.0.7.1.7.74-6
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/hive/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.3000.7.1.7.74-6
10.156.42.131,java -version,Command Not Exist or Application Not installed
10.156.42.131,rpm -qa | grep openjdk | cut -d '-' -f4 | head -1,headless
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/kafka/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,2.5.0.7.1.7.74-6
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/hadoop-mapreduce/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.131,mysql -V | cut -d ' ' -f4,14.14
10.156.42.131,cat /etc/os-release | grep PRETTY_NAME | cut -d = -f2,Oracle Linux Server 7.9
10.156.42.131,"sudo -u postgres psql -c ""SELECT version();"" | grep PostgreSQL | cut -d ' ' -f3",Command Not Exist or Application Not installed
10.156.42.131,/opt/presto/bin/presto --version  | cut -d ' ' -f3,0.257-df401fd
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/ranger-admin/version,2.1.0.7.1.7.74-6
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/ranger-kms/version,2.1.0.7.1.7.74-6
10.156.42.131,rpm -qa | grep -i SmartSense | cut -d '-' -f3,1.5.1.7.1.7.0
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/solr/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,8.4.1.7.1.7.74-6
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/spark/cloudera/cdh_version.properties  | grep version | head -1 | cut -d'=' -f2,2.4.7.7.1.7.74-6
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/sqoop/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.4.7.7.1.7.74-6
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/tez/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.9.1.7.1.7.74-6
10.156.42.131,/opt/tomcat/bin/version.sh  | grep number | cut -d':' -f2,Command Not Exist or Application Not installed
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/hadoop-yarn/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.131,rpm -qa | grep -i zabbix-agent | cut -d '-' -f3,5.0.2
10.156.42.131,cat /opt/cloudera/parcels/CDH/lib/zookeeper/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.5.5.7.1.7.74-6
10.156.42.131,bash /opt/flare_dev/bin/kamanja --version,Kamanja version 3.1.20.0
10.156.42.131,bash /opt/flare_bsl_new/bin/kamanja --version,Command Not Exist or Application Not installed
10.156.42.132,airflow version,1.10.11
10.156.42.132,/opt/alluxio/bin/alluxio version,2.7.3
10.156.42.132,rpm -qa | grep ambari-metrics-monitor | cut -d '-' -f4,7.1.7.0
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/spark-atlas-connector/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.1.0.7.1.7.74-6
10.156.42.132,rpm -qa | grep beegfs-helperd | cut -d '-' -f3,7.1.5
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/hadoop/cloudera/cdh_version.properties | grep cloudera.cdh.release | head -1 | cut -d'h' -f3,7.1.7.74
10.156.42.132,rpm -qa | grep -i Cloudera  | cut -d '-' -f4 | head -1,7.4.4
10.156.42.132,rpm -qa | grep -i hdp | cut -d '-' -f3,7.1.7.0
10.156.42.132,bash /opt/flare/flare_bsl/bin/kamanja --version,Kamanja version 1.5.3.0
10.156.42.132,rpm -qa | grep -i grafana | cut -d '-' -f3,Command Not Exist or Application Not installed
10.156.42.132,hadoop version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.132,hbase version | grep HBase | cut -d ' ' -f2,2.2.3.7.1.7.74-6
10.156.42.132,hdfs version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/search/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.0.0.7.1.7.74-6
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/hive/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.3000.7.1.7.74-6
10.156.42.132,java -version,Command Not Exist or Application Not installed
10.156.42.132,rpm -qa | grep openjdk | cut -d '-' -f4 | head -1,headless
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/kafka/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,2.5.0.7.1.7.74-6
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/hadoop-mapreduce/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.132,mysql -V | cut -d ' ' -f4,8.0.26
10.156.42.132,cat /etc/os-release | grep PRETTY_NAME | cut -d = -f2,Oracle Linux Server 7.9
10.156.42.132,"sudo -u postgres psql -c ""SELECT version();"" | grep PostgreSQL | cut -d ' ' -f3",Command Not Exist or Application Not installed
10.156.42.132,/opt/presto/bin/presto --version  | cut -d ' ' -f3,0.257-df401fd
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/ranger-admin/version,2.1.0.7.1.7.74-6
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/ranger-kms/version,2.1.0.7.1.7.74-6
10.156.42.132,rpm -qa | grep -i SmartSense | cut -d '-' -f3,1.5.1.7.1.7.0
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/solr/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,8.4.1.7.1.7.74-6
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/spark/cloudera/cdh_version.properties  | grep version | head -1 | cut -d'=' -f2,2.4.7.7.1.7.74-6
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/sqoop/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.4.7.7.1.7.74-6
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/tez/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.9.1.7.1.7.74-6
10.156.42.132,/opt/tomcat/bin/version.sh  | grep number | cut -d':' -f2,Command Not Exist or Application Not installed
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/hadoop-yarn/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.132,rpm -qa | grep -i zabbix-agent | cut -d '-' -f3,5.0.2
10.156.42.132,cat /opt/cloudera/parcels/CDH/lib/zookeeper/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.5.5.7.1.7.74-6
10.156.42.132,bash /opt/flare_dev/bin/kamanja --version,Kamanja version 3.1.20.0
10.156.42.132,bash /opt/flare_bsl_new/bin/kamanja --version,Kamanja version 3.1.22.0
10.156.42.134,airflow version,Command Not Exist or Application Not installed
10.156.42.134,/opt/alluxio/bin/alluxio version,2.7.3
10.156.42.134,rpm -qa | grep ambari-metrics-monitor | cut -d '-' -f4,7.1.7.0
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/spark-atlas-connector/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.1.0.7.1.7.74-6
10.156.42.134,rpm -qa | grep beegfs-helperd | cut -d '-' -f3,7.1.5
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/hadoop/cloudera/cdh_version.properties | grep cloudera.cdh.release | head -1 | cut -d'h' -f3,7.1.7.74
10.156.42.134,rpm -qa | grep -i Cloudera  | cut -d '-' -f4 | head -1,7.4.4
10.156.42.134,rpm -qa | grep -i hdp | cut -d '-' -f3,7.1.7.0
10.156.42.134,bash /opt/flare/flare_bsl/bin/kamanja --version,Kamanja version 1.5.3.0
10.156.42.134,rpm -qa | grep -i grafana | cut -d '-' -f3,Command Not Exist or Application Not installed
10.156.42.134,hadoop version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.134,hbase version | grep HBase | cut -d ' ' -f2,2.2.3.7.1.7.74-6
10.156.42.134,hdfs version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/search/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.0.0.7.1.7.74-6
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/hive/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.3000.7.1.7.74-6
10.156.42.134,java -version,Command Not Exist or Application Not installed
10.156.42.134,rpm -qa | grep openjdk | cut -d '-' -f4 | head -1,headless
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/kafka/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,2.5.0.7.1.7.74-6
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/hadoop-mapreduce/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.134,mysql -V | cut -d ' ' -f4,Command Not Exist or Application Not installed
10.156.42.134,cat /etc/os-release | grep PRETTY_NAME | cut -d = -f2,Oracle Linux Server 7.9
10.156.42.134,"sudo -u postgres psql -c ""SELECT version();"" | grep PostgreSQL | cut -d ' ' -f3",Command Not Exist or Application Not installed
10.156.42.134,/opt/presto/bin/presto --version  | cut -d ' ' -f3,0.257-df401fd
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/ranger-admin/version,2.1.0.7.1.7.74-6
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/ranger-kms/version,2.1.0.7.1.7.74-6
10.156.42.134,rpm -qa | grep -i SmartSense | cut -d '-' -f3,1.5.1.7.1.7.0
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/solr/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,8.4.1.7.1.7.74-6
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/spark/cloudera/cdh_version.properties  | grep version | head -1 | cut -d'=' -f2,2.4.7.7.1.7.74-6
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/sqoop/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.4.7.7.1.7.74-6
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/tez/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.9.1.7.1.7.74-6
10.156.42.134,/opt/tomcat/bin/version.sh  | grep number | cut -d':' -f2,Command Not Exist or Application Not installed
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/hadoop-yarn/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.134,rpm -qa | grep -i zabbix-agent | cut -d '-' -f3,5.0.2
10.156.42.134,cat /opt/cloudera/parcels/CDH/lib/zookeeper/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.5.5.7.1.7.74-6
10.156.42.134,bash /opt/flare_dev/bin/kamanja --version,Kamanja version 3.1.20.0
10.156.42.134,bash /opt/flare_bsl_new/bin/kamanja --version,Kamanja version 3.1.22.0
10.156.42.135,airflow version,Command Not Exist or Application Not installed
10.156.42.135,/opt/alluxio/bin/alluxio version,2.7.3
10.156.42.135,rpm -qa | grep ambari-metrics-monitor | cut -d '-' -f4,7.1.7.0
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/spark-atlas-connector/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.1.0.7.1.7.74-6
10.156.42.135,rpm -qa | grep beegfs-helperd | cut -d '-' -f3,7.1.5
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/hadoop/cloudera/cdh_version.properties | grep cloudera.cdh.release | head -1 | cut -d'h' -f3,7.1.7.74
10.156.42.135,rpm -qa | grep -i Cloudera  | cut -d '-' -f4 | head -1,7.4.4
10.156.42.135,rpm -qa | grep -i hdp | cut -d '-' -f3,7.1.7.0
10.156.42.135,bash /opt/flare/flare_bsl/bin/kamanja --version,Kamanja version 1.5.3.0
10.156.42.135,rpm -qa | grep -i grafana | cut -d '-' -f3,Command Not Exist or Application Not installed
10.156.42.135,hadoop version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.135,hbase version | grep HBase | cut -d ' ' -f2,2.2.3.7.1.7.74-6
10.156.42.135,hdfs version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/search/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.0.0.7.1.7.74-6
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/hive/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.3000.7.1.7.74-6
10.156.42.135,java -version,Command Not Exist or Application Not installed
10.156.42.135,rpm -qa | grep openjdk | cut -d '-' -f4 | head -1,Command Not Exist or Application Not installed
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/kafka/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,2.5.0.7.1.7.74-6
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/hadoop-mapreduce/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.135,mysql -V | cut -d ' ' -f4,Command Not Exist or Application Not installed
10.156.42.135,cat /etc/os-release | grep PRETTY_NAME | cut -d = -f2,Oracle Linux Server 7.9
10.156.42.135,"sudo -u postgres psql -c ""SELECT version();"" | grep PostgreSQL | cut -d ' ' -f3",Command Not Exist or Application Not installed
10.156.42.135,/opt/presto/bin/presto --version  | cut -d ' ' -f3,0.257-df401fd
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/ranger-admin/version,2.1.0.7.1.7.74-6
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/ranger-kms/version,2.1.0.7.1.7.74-6
10.156.42.135,rpm -qa | grep -i SmartSense | cut -d '-' -f3,1.5.1.7.1.7.0
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/solr/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,8.4.1.7.1.7.74-6
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/spark/cloudera/cdh_version.properties  | grep version | head -1 | cut -d'=' -f2,2.4.7.7.1.7.74-6
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/sqoop/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.4.7.7.1.7.74-6
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/tez/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.9.1.7.1.7.74-6
10.156.42.135,/opt/tomcat/bin/version.sh  | grep number | cut -d':' -f2,Command Not Exist or Application Not installed
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/hadoop-yarn/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.135,rpm -qa | grep -i zabbix-agent | cut -d '-' -f3,5.0.2
10.156.42.135,cat /opt/cloudera/parcels/CDH/lib/zookeeper/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.5.5.7.1.7.74-6
10.156.42.135,bash /opt/flare_dev/bin/kamanja --version,Kamanja version 3.1.20.0
10.156.42.135,bash /opt/flare_bsl_new/bin/kamanja --version,Command Not Exist or Application Not installed
10.156.42.136,airflow version,Command Not Exist or Application Not installed
10.156.42.136,/opt/alluxio/bin/alluxio version,2.7.3
10.156.42.136,rpm -qa | grep ambari-metrics-monitor | cut -d '-' -f4,7.1.7.0
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/spark-atlas-connector/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.1.0.7.1.7.74-6
10.156.42.136,rpm -qa | grep beegfs-helperd | cut -d '-' -f3,7.1.5
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/hadoop/cloudera/cdh_version.properties | grep cloudera.cdh.release | head -1 | cut -d'h' -f3,7.1.7.74
10.156.42.136,rpm -qa | grep -i Cloudera  | cut -d '-' -f4 | head -1,7.4.4
10.156.42.136,rpm -qa | grep -i hdp | cut -d '-' -f3,7.1.7.0
10.156.42.136,bash /opt/flare/flare_bsl/bin/kamanja --version,Kamanja version 1.5.3.0
10.156.42.136,rpm -qa | grep -i grafana | cut -d '-' -f3,Command Not Exist or Application Not installed
10.156.42.136,hadoop version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.136,hbase version | grep HBase | cut -d ' ' -f2,2.2.3.7.1.7.74-6
10.156.42.136,hdfs version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/search/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.0.0.7.1.7.74-6
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/hive/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.3000.7.1.7.74-6
10.156.42.136,java -version,Command Not Exist or Application Not installed
10.156.42.136,rpm -qa | grep openjdk | cut -d '-' -f4 | head -1,headless
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/kafka/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,2.5.0.7.1.7.74-6
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/hadoop-mapreduce/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.136,mysql -V | cut -d ' ' -f4,Command Not Exist or Application Not installed
10.156.42.136,cat /etc/os-release | grep PRETTY_NAME | cut -d = -f2,Oracle Linux Server 7.9
10.156.42.136,"sudo -u postgres psql -c ""SELECT version();"" | grep PostgreSQL | cut -d ' ' -f3",Command Not Exist or Application Not installed
10.156.42.136,/opt/presto/bin/presto --version  | cut -d ' ' -f3,0.257-df401fd
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/ranger-admin/version,2.1.0.7.1.7.74-6
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/ranger-kms/version,2.1.0.7.1.7.74-6
10.156.42.136,rpm -qa | grep -i SmartSense | cut -d '-' -f3,1.5.1.7.1.7.0
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/solr/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,8.4.1.7.1.7.74-6
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/spark/cloudera/cdh_version.properties  | grep version | head -1 | cut -d'=' -f2,2.4.7.7.1.7.74-6
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/sqoop/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.4.7.7.1.7.74-6
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/tez/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.9.1.7.1.7.74-6
10.156.42.136,/opt/tomcat/bin/version.sh  | grep number | cut -d':' -f2,Command Not Exist or Application Not installed
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/hadoop-yarn/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.136,rpm -qa | grep -i zabbix-agent | cut -d '-' -f3,5.0.2
10.156.42.136,cat /opt/cloudera/parcels/CDH/lib/zookeeper/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.5.5.7.1.7.74-6
10.156.42.136,bash /opt/flare_dev/bin/kamanja --version,Kamanja version 1.5.3.0
10.156.42.136,bash /opt/flare_bsl_new/bin/kamanja --version,Kamanja version 3.1.22.0
10.156.42.137,airflow version,Command Not Exist or Application Not installed
10.156.42.137,/opt/alluxio/bin/alluxio version,2.7.3
10.156.42.137,rpm -qa | grep ambari-metrics-monitor | cut -d '-' -f4,7.1.7.0
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/spark-atlas-connector/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.1.0.7.1.7.74-6
10.156.42.137,rpm -qa | grep beegfs-helperd | cut -d '-' -f3,7.1.5
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/hadoop/cloudera/cdh_version.properties | grep cloudera.cdh.release | head -1 | cut -d'h' -f3,7.1.7.74
10.156.42.137,rpm -qa | grep -i Cloudera  | cut -d '-' -f4 | head -1,7.4.4
10.156.42.137,rpm -qa | grep -i hdp | cut -d '-' -f3,7.1.7.0
10.156.42.137,bash /opt/flare/flare_bsl/bin/kamanja --version,Kamanja version 1.5.3.0
10.156.42.137,rpm -qa | grep -i grafana | cut -d '-' -f3,Command Not Exist or Application Not installed
10.156.42.137,hadoop version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.137,hbase version | grep HBase | cut -d ' ' -f2,2.2.3.7.1.7.74-6
10.156.42.137,hdfs version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/search/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.0.0.7.1.7.74-6
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/hive/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.3000.7.1.7.74-6
10.156.42.137,java -version,Command Not Exist or Application Not installed
10.156.42.137,rpm -qa | grep openjdk | cut -d '-' -f4 | head -1,headless
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/kafka/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,2.5.0.7.1.7.74-6
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/hadoop-mapreduce/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.137,mysql -V | cut -d ' ' -f4,Command Not Exist or Application Not installed
10.156.42.137,cat /etc/os-release | grep PRETTY_NAME | cut -d = -f2,Oracle Linux Server 7.9
10.156.42.137,"sudo -u postgres psql -c ""SELECT version();"" | grep PostgreSQL | cut -d ' ' -f3",Command Not Exist or Application Not installed
10.156.42.137,/opt/presto/bin/presto --version  | cut -d ' ' -f3,Command Not Exist or Application Not installed
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/ranger-admin/version,2.1.0.7.1.7.74-6
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/ranger-kms/version,2.1.0.7.1.7.74-6
10.156.42.137,rpm -qa | grep -i SmartSense | cut -d '-' -f3,1.5.1.7.1.7.0
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/solr/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,8.4.1.7.1.7.74-6
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/spark/cloudera/cdh_version.properties  | grep version | head -1 | cut -d'=' -f2,2.4.7.7.1.7.74-6
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/sqoop/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.4.7.7.1.7.74-6
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/tez/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.9.1.7.1.7.74-6
10.156.42.137,/opt/tomcat/bin/version.sh  | grep number | cut -d':' -f2,Command Not Exist or Application Not installed
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/hadoop-yarn/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.137,rpm -qa | grep -i zabbix-agent | cut -d '-' -f3,5.0.2
10.156.42.137,cat /opt/cloudera/parcels/CDH/lib/zookeeper/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.5.5.7.1.7.74-6
10.156.42.137,bash /opt/flare_dev/bin/kamanja --version,Kamanja version 3.1.20.0
10.156.42.137,bash /opt/flare_bsl_new/bin/kamanja --version,Command Not Exist or Application Not installed
10.156.42.138,airflow version,Command Not Exist or Application Not installed
10.156.42.138,/opt/alluxio/bin/alluxio version,2.7.3
10.156.42.138,rpm -qa | grep ambari-metrics-monitor | cut -d '-' -f4,7.1.7.0
10.156.42.138,cat /opt/cloudera/parcels/CDH/lib/spark-atlas-connector/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,0.1.0.7.1.7.74-6
10.156.42.138,rpm -qa | grep beegfs-helperd | cut -d '-' -f3,7.1.5
10.156.42.138,cat /opt/cloudera/parcels/CDH/lib/hadoop/cloudera/cdh_version.properties | grep cloudera.cdh.release | head -1 | cut -d'h' -f3,7.1.7.74
10.156.42.138,rpm -qa | grep -i Cloudera  | cut -d '-' -f4 | head -1,7.4.4
10.156.42.138,rpm -qa | grep -i hdp | cut -d '-' -f3,7.1.7.0
10.156.42.138,bash /opt/flare/flare_bsl/bin/kamanja --version,Kamanja version 1.5.3.0
10.156.42.138,rpm -qa | grep -i grafana | cut -d '-' -f3,Command Not Exist or Application Not installed
10.156.42.138,hadoop version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.138,hbase version | grep HBase | cut -d ' ' -f2,2.2.3.7.1.7.74-6
10.156.42.138,hdfs version | grep Hadoop | cut -d ' ' -f2,3.1.1.7.1.7.74-6
10.156.42.138,cat /opt/cloudera/parcels/CDH/lib/search/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,1.0.0.7.1.7.74-6
10.156.42.138,cat /opt/cloudera/parcels/CDH/lib/hive/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.3000.7.1.7.74-6
10.156.42.138,java -version,Command Not Exist or Application Not installed
10.156.42.138,rpm -qa | grep openjdk | cut -d '-' -f4 | head -1,Command Not Exist or Application Not installed
10.156.42.138,cat /opt/cloudera/parcels/CDH/lib/kafka/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,2.5.0.7.1.7.74-6
10.156.42.138,cat /opt/cloudera/parcels/CDH/lib/hadoop-mapreduce/cloudera/cdh_version.properties | grep version | head -1 | cut -d'=' -f2,3.1.1.7.1.7.74-6
10.156.42.138,mysql -V | cut -d ' ' -f4,Command Not Exist or Application Not installed
